,rentaldate,occupancy
0,2017-02-15,6.25
1,2017-02-16,6.5625
2,2017-02-17,7.1875
3,2017-02-18,11.5625
4,2017-02-19,14.6875
5,2017-02-20,9.0625
6,2017-02-21,10.3125
7,2017-02-22,10.0
8,2017-02-23,8.75
9,2017-02-24,15.9375
10,2017-02-25,18.4375
11,2017-02-26,13.75
12,2017-02-27,11.25
13,2017-02-28,13.125
14,2017-03-01,14.6875
15,2017-03-02,12.8125
16,2017-03-03,12.5
17,2017-03-04,14.0625
18,2017-03-05,14.375
19,2017-03-06,13.125
20,2017-03-07,14.0625
21,2017-03-08,14.375
22,2017-03-09,13.75
23,2017-03-10,14.375
24,2017-03-11,15.3125
25,2017-03-12,16.25
26,2017-03-13,13.4375
27,2017-03-14,14.0625
28,2017-03-15,11.5625
29,2017-03-16,14.0625
30,2017-03-17,18.75
31,2017-03-18,17.1875
32,2017-03-19,12.5
33,2017-03-20,14.375
34,2017-03-21,11.25
35,2017-03-22,8.75
36,2017-03-23,13.75
37,2017-03-24,18.4375
38,2017-03-25,16.875
39,2017-03-26,15.3125
40,2017-03-27,15.9375
41,2017-03-28,20.625
42,2017-03-29,15.3125
43,2017-03-30,16.25
44,2017-03-31,18.4375
45,2017-04-01,15.9375
46,2017-04-02,16.5625
47,2017-04-03,16.25
48,2017-04-04,14.0625
49,2017-04-05,14.375
50,2017-04-06,13.75
51,2017-04-07,18.4375
52,2017-04-08,17.8125
53,2017-04-09,17.1875
54,2017-04-10,12.5
55,2017-04-11,12.1875
56,2017-04-12,14.375
57,2017-04-13,12.8125
58,2017-04-14,14.375
59,2017-04-15,17.1875
60,2017-04-16,16.5625
61,2017-04-17,13.4375
62,2017-04-18,10.9375
63,2017-04-19,10.3125
64,2017-04-20,11.25
65,2017-04-21,13.4375
66,2017-04-22,17.1875
67,2017-04-23,16.25
68,2017-04-24,14.0625
69,2017-04-25,10.9375
70,2017-04-26,9.6875
71,2017-04-27,7.8125
72,2017-04-28,12.5
73,2017-04-29,20.3125
74,2017-04-30,15.625
75,2017-05-01,12.5
76,2017-05-02,12.8125
77,2017-05-03,16.5625
78,2017-05-04,15.0
79,2017-05-05,16.25
80,2017-05-06,19.6875
81,2017-05-07,16.25
82,2017-05-08,15.625
83,2017-05-09,11.25
84,2017-05-10,11.25
85,2017-05-11,12.5
86,2017-05-12,13.75
87,2017-05-13,18.4375
88,2017-05-14,16.5625
89,2017-05-15,11.5625
90,2017-05-16,9.375
91,2017-05-17,5.9375
92,2017-05-18,6.25
93,2017-05-19,14.6875
94,2017-05-20,15.3125
95,2017-05-21,20.0
96,2017-05-22,20.9375
97,2017-05-23,12.5
98,2017-05-24,15.9375
99,2017-05-25,14.6875
100,2017-05-26,13.75
101,2017-05-27,19.0625
102,2017-05-28,18.75
103,2017-05-29,15.9375
104,2017-05-30,14.6875
105,2017-05-31,16.25
106,2017-06-01,15.3125
107,2017-06-02,18.75
108,2017-06-03,23.4375
109,2017-06-04,26.25
110,2017-06-05,19.0625
111,2017-06-06,16.5625
112,2017-06-07,16.5625
113,2017-06-08,21.5625
114,2017-06-09,21.25
115,2017-06-10,15.0
116,2017-06-11,21.25
117,2017-06-12,16.25
118,2017-06-13,15.9375
119,2017-06-14,19.0625
120,2017-06-15,24.6875
121,2017-06-16,22.1875
122,2017-06-17,20.9375
123,2017-06-18,22.1875
124,2017-06-19,25.625
125,2017-06-20,20.3125
126,2017-06-21,23.125
127,2017-06-22,20.9375
128,2017-06-23,23.4375
129,2017-06-24,26.5625
130,2017-06-25,27.1875
131,2017-06-26,24.375
132,2017-06-27,19.375
133,2017-06-28,23.4375
134,2017-06-29,18.125
135,2017-06-30,17.1875
136,2017-07-01,23.125
137,2017-07-02,16.875
138,2017-07-03,17.5
139,2017-07-04,13.125
140,2017-07-05,10.3125
141,2017-07-06,7.5
142,2017-07-07,8.75
143,2017-07-08,15.625
144,2017-07-09,17.8125
145,2017-07-10,12.8125
146,2017-07-11,14.375
147,2017-07-12,12.1875
148,2017-07-13,11.875
149,2017-07-14,11.5625
150,2017-07-15,13.75
151,2017-07-16,11.25
152,2017-07-17,8.4375
153,2017-07-18,13.75
154,2017-07-19,16.5625
155,2017-07-20,17.5
156,2017-07-21,21.25
157,2017-07-22,16.5625
158,2017-07-23,10.3125
159,2017-07-24,11.5625
160,2017-07-25,10.0
161,2017-07-26,10.0
162,2017-07-27,10.0
163,2017-07-28,10.625
164,2017-07-29,11.875
165,2017-07-30,12.1875
166,2017-07-31,10.3125
167,2017-08-01,8.4375
168,2017-08-02,6.25
169,2017-08-03,6.5625
170,2017-08-04,8.4375
171,2017-08-05,15.9375
172,2017-08-06,16.875
173,2017-08-07,8.75
174,2017-08-08,7.1875
175,2017-08-09,9.0625
176,2017-08-10,9.6875
177,2017-08-11,11.875
178,2017-08-12,23.4375
179,2017-08-13,27.1875
180,2017-08-14,25.625
181,2017-08-15,21.5625
182,2017-08-16,14.375
183,2017-08-17,9.0625
184,2017-08-18,15.625
185,2017-08-19,17.8125
186,2017-08-20,14.6875
187,2017-08-21,12.8125
188,2017-08-22,10.3125
189,2017-08-23,6.875
190,2017-08-24,8.125
191,2017-08-25,9.6875
192,2017-08-26,14.375
193,2017-08-27,13.4375
194,2017-08-28,9.6875
195,2017-08-29,11.875
196,2017-08-30,10.625
197,2017-08-31,14.0625
198,2017-09-01,16.5625
199,2017-09-02,16.5625
200,2017-09-03,16.25
201,2017-09-04,14.375
202,2017-09-05,11.5625
203,2017-09-06,11.5625
204,2017-09-07,11.5625
205,2017-09-08,12.1875
206,2017-09-09,16.875
207,2017-09-10,17.5
208,2017-09-11,12.8125
209,2017-09-12,7.8125
210,2017-09-13,7.8125
211,2017-09-14,11.5625
212,2017-09-15,15.9375
213,2017-09-16,17.8125
214,2017-09-17,17.1875
215,2017-09-18,11.875
216,2017-09-19,19.375
217,2017-09-20,19.375
218,2017-09-21,7.8125
219,2017-09-22,10.3125
220,2017-09-23,14.6875
221,2017-09-24,15.0
222,2017-09-25,13.4375
223,2017-09-26,12.8125
224,2017-09-27,9.6875
225,2017-09-28,10.3125
226,2017-09-29,20.625
227,2017-09-30,20.0
228,2017-10-01,19.0625
229,2017-10-02,20.0
230,2017-10-03,17.8125
231,2017-10-04,11.25
232,2017-10-05,14.0625
233,2017-10-06,20.3125
234,2017-10-07,22.8125
235,2017-10-08,24.375
236,2017-10-09,18.75
237,2017-10-10,15.3125
238,2017-10-11,15.625
239,2017-10-12,17.1875
240,2017-10-13,16.875
241,2017-10-14,22.8125
242,2017-10-15,23.75
243,2017-10-16,15.3125
244,2017-10-17,12.1875
245,2017-10-18,15.0
246,2017-10-19,21.25
247,2017-10-20,24.6875
248,2017-10-21,23.125
249,2017-10-22,17.8125
250,2017-10-23,19.6875
251,2017-10-24,20.9375
252,2017-10-25,15.625
253,2017-10-26,17.8125
254,2017-10-27,20.9375
255,2017-10-28,20.625
256,2017-10-29,14.6875
257,2017-10-30,14.6875
